UKPRN,NAME,SHORT NAME,CODE,GROUP,RANKING,WORLD RANKING
10001082,Cadbury Sixth Form College,,,,,
10001121,Cambridge Women's Resources Centre Limited,,,,,
10001230,Forster Community College Limited,,,,,
10001264,The Central School of Ballet Charitable Trust Limited,,,,,
10001416,Christ the King Sixth Form College,,,,,
10001492,Claverham Community College,,,,,
10001512,Community Music Limited,,,,,
10001539,The College of Animal Welfare Limited,,,,,
10001651,LPW Independent School,,,,,
10001901,Deep Blue Sound Limited,,,,,
10002118,East London Advanced Technology,,,,,
10002122,East Norfolk Sixth Form College,,,,,
10002269,English National Ballet School Limited,,,,,
10002340,European College of Business and Management,,,,,
10002642,Gateway Sixth Form College,,,,,
10002767,The Greenbank Project,,,,,
10002805,The Guildford School of Acting Conservatoire,,,,,
10002874,Hampstead Garden Suburb Institute,,,,,
10002937,Havering Sixth Form College,,,,,
10003014,The Henry Cort Community College,,,,,
10003021,Hereford Sixth Form College,,,,,
10003089,Hillingdon London Borough Council,,,,,
10003094,Hills Road Sixth Form College,,,,,
10003101,Hind Leys Community College,,,,,
10003165,Hounslow London Borough Council,,,,,
10003336,IPP Education Limited,,,,,
10003491,John Leggott Sixth Form College,,,,,
10003511,Joseph Chamberlain Sixth Form College,,,,,
10003570,Kent County Council,,,,,
10003884,Leo Baeck College,,,,,
10003925,Lincoln Academy Limited,,,,,
10003932,Lincolnshire County Council,,,,,
10003959,Liverpool Theatre School and College Limited,,,,,
10003997,Newham London Borough Council,,,,,
10004032,London Electronics College Limited,,,,,
10004036,The London International Film School Limited,CFSL,C34,,,
10004061,London School of Business and Management Limited,LSBM,L73,,,
10004075,London School of Theology,,,,,
10004079,London Studio Centre Limited,,,,,
10004088,Long Road Sixth Form College,,,,,
10004089,Longbenton Community College,,,,,
10004125,Luton Sixth Form College,,,,,
10004285,Medway Council,,,,,
10004313,Merseyside Dance and Drama Centre Limited,,,,,
10004320,The Metanoia Institute,,,,,
10004497,The National Autistic Society,,,,,
10004608,Newham Sixth Form College,,,,,
10004609,Newham Training and Education Centre,,,,,
10004714,North Tyneside Metropolitan Borough Council,,,,,
10004738,Northern Ballet School,,,,,
10004740,The Northern College of Acupuncture,,,,,
10004785,Notre Dame Catholic Sixth Form College,,,,,
10004861,Oldham Sixth Form College,,,,,
10004879,Open College of the Arts,,,,,
10004938,The Oxford House in Bethnal Green,,,,,
10004943,The Oxford School of Drama Limited,,,,,
10005325,Queen Elizabeth Sixth Form College,,,,,
10005544,Royal Academy of Dancing,RAD,R55,,,
10005558,Royal National College for the Blind,,,,,
10005687,Scarborough Sixth Form College,,,,,
10005822,Shrewsbury Sixth Form College,,,,,
10005859,Sir George Monoux College,,,,,
10005864,Sir John Deane's College,,,,,
10005881,The Sixth Form College Colchester,,,,,
10005916,Slough Borough Council,,,,,
10006093,Spurgeon's College,SPUR,S57,,,
10006130,St Brendan's Sixth Form College,,,,,
10006135,St Charles Catholic Sixth Form College,,,,,
10006148,St Dominic's Sixth Form College,,,,,
10006220,St Mary's Catholic College,,,,,
10006224,"St Mary's College, Hull",,,,,
10006243,St Patrick's International College Limited,SPIC,S19,,,
10006342,Stockton Sixth Form College,,,,,
10006355,Stourbridge College,,,,,
10006426,Surrey County Council,,,,,
10006458,Swarthmore Education Centre,,,,,
10006709,The International School,,,,,
10006813,The Brooke House Sixth Form College,,,,,
10006814,The Sixth Form College Farnborough,,,,,
10006815,"The Sixth Form College, Solihull",,,,,
10007037,Treviglas Community College,,,,,
10007111,Uckfield Community Technology College,,,,,
10007291,Wakefield City Council,,,,,
10007365,Weald and Downland Open Air Museum Limited,,,,,
10007405,YMCA Training,,,,,
10007543,Wine and Spirit Education Trust,,,,,
10007673,Wyke Sixth Form College,,,,,
10007821,Coleg Menai,MENAI,M65,,,
